📊 รายงานผลการสแกนหุ้น SET100 (2026-07-31 17:45)
สรุปสัญญาณวันนี้: ซื้อ 35 | ขาย 50 | ถือ 56
=======================================================
   Symbol  Price  EMA14    Volume    VolMA5     MACD  Signal     CCI Status
SINGTEL80  11.70  11.39     34502     84401   0.1071  0.0710  198.19 🟡 HOLD
     JD80   5.30   5.01    302277   1010505   0.1730  0.1217  145.10 🟡 HOLD
   NIKE80   0.71   0.72    536828   1298365  -0.0029 -0.0009  -71.37 🔴 SELL
 PFIZER19  16.70  16.53    239691    145114   0.1134  0.0471   50.26  🟢 BUY
    VNM19   7.75   7.55     69373    127501   0.1405  0.1006  108.27 🟡 HOLD
THAIBEV19  12.00  11.75     74152     34734   0.1883  0.1663  103.48  🟢 BUY
    DBS19  19.50  19.06    109126    121092   0.6479  0.6610   84.54 🔴 SELL
    UOB19  11.40  11.26      9360      3042   0.2546  0.2987   -0.00 🟡 HOLD
  SPFIN80  19.00  18.88      3357      2008   0.3413  0.3795   33.70 🟡 HOLD
  SPCOM80   3.64   3.69     17104      9737  -0.0055  0.0083 -118.52 🔴 SELL
     HK01  22.40  21.88     35688     29673   0.4301  0.3424  143.04  🟢 BUY
 SPBOND80   8.50   8.51    193756     52963   0.0222  0.0317  -16.09 🔴 SELL
   SMIC23   3.22   3.61   7446472   5454856  -0.1313 -0.0631 -148.69 🔴 SELL
=======================================================
