📊 รายงานผลการสแกนหุ้น SET100 (2026-08-04 05:38)
สรุปสัญญาณวันนี้: ซื้อ 32 | ขาย 50 | ถือ 59
=======================================================
   Symbol  Price  EMA14    Volume    VolMA5     MACD  Signal     CCI Status
      AIT   4.92   4.89   1234800    645440   0.0391  0.0432   76.09 🟡 HOLD
    LANNA  14.70  14.62    209300    148820   0.0386  0.0471  -26.38 🟡 HOLD
      BAY  40.50  41.99   1564900   1594880   0.1210  0.8747  -74.94 🔴 SELL
      SPI  32.25  33.28     20400      5600   0.1521  0.3161 -153.36 🔴 SELL
     SPCG   9.20   9.19    456700    382700   0.0634  0.0807  -42.88 🟡 HOLD
      AKR   0.89   0.90   1527400    509600  -0.0021  0.0004 -117.46 🔴 SELL
      NSL  23.00  22.84    306400    163320   0.1807  0.2604   -3.74 🟡 HOLD
    MOSHI  42.00  39.75    883400    399220   0.8075  0.6149  261.39  🟢 BUY
      CMR   1.25   1.26     41200     44600  -0.0074 -0.0064  -77.78 🔴 SELL
      TFG   9.85  10.11  17926900  10087620  -0.0183  0.0899 -100.99 🔴 SELL
    THCOM  10.90  10.96   2543900   2366980  -0.1224 -0.1046  -55.17 🔴 SELL
      AIT   4.92   4.89   1234800    645440   0.0391  0.0432   76.09 🟡 HOLD
    LANNA  14.70  14.62    209300    148820   0.0386  0.0471  -26.38 🟡 HOLD
      BAY  40.50  41.99   1564900   1594880   0.1210  0.8747  -74.94 🔴 SELL
   META80   2.32   2.53  39403394  16726467  -0.0208  0.0300 -149.60 🔴 SELL
    AMD80   3.18   3.42  23223308  25891479  -0.0140  0.0429  -85.62 🔴 SELL
   MSFT80   7.50   6.72   4189866   3582506   0.1197  0.0434  281.36  🟢 BUY
   GOOG80   5.75   5.70  10236767   5963214  -0.0966 -0.0712   -8.47 🟡 HOLD
   AVGO80   2.62   2.59   2600768   3354774   0.0088  0.0026   25.25 🟡 HOLD
 MICRON80  27.25  30.46   2686327   1626727  -0.9470 -0.4615  -85.42 🔴 SELL
   TSLA80   2.10   2.33       766  34636560  -0.1421 -0.0835  -99.22 🔴 SELL
   AMZN80   2.22   2.04  20549961   5632586   0.0038  0.0004  104.97  🟢 BUY
    PEP80   0.95   0.94    162775    559653  -0.0013 -0.0050  115.20 🟡 HOLD
   MRVL80   6.35   6.88   4064098   2996381  -0.5116 -0.4246  -62.92 🔴 SELL
  NOVOB80   1.56   1.64   3778681   2643979   0.0248  0.0372 -188.41 🔴 SELL
SP500US80   2.96   2.95       945    646985   0.0122  0.0185   31.11 🟡 HOLD
     KO80   2.98   2.83    140346    173047   0.0457  0.0353  180.14 🟡 HOLD
   SBUX80   1.77   1.77    148792     61252   0.0196  0.0222  -12.87 🟡 HOLD
   SONY80   3.84   3.66    104957    416553   0.0937  0.0559  121.31 🟡 HOLD
SINGTEL80  11.70  11.39     34502     84401   0.1071  0.0710  198.19 🟡 HOLD
     JD80   5.45   5.07    642242    906535   0.1922  0.1358  161.03 🟡 HOLD
   NIKE80   0.71   0.72    336207    661927  -0.0032 -0.0013  -80.77 🔴 SELL
 PFIZER19  16.80  16.57    155069    160053   0.1238  0.0624   73.24 🟡 HOLD
    VNM19   7.75   7.55     59323    125491   0.1405  0.1006  108.27 🟡 HOLD
THAIBEV19  12.00  11.75     74151     34733   0.1883  0.1663  103.48  🟢 BUY
    DBS19  19.50  19.06    108975    121062   0.6479  0.6610   84.54 🔴 SELL
    UOB19  11.40  11.26      9360      3042   0.2546  0.2987   -0.00 🟡 HOLD
  SPFIN80  19.00  18.90      2491      2162   0.3222  0.3680   68.73 🟡 HOLD
  SPCOM80   3.68   3.69     13129     11121  -0.0058  0.0055  -65.12 🔴 SELL
     HK01  22.40  21.88     35642     29664   0.4301  0.3424  143.04  🟢 BUY
 SPBOND80   8.50   8.51     94514     65832   0.0193  0.0292 -118.58 🔴 SELL
   SMIC23   3.14   3.55   3051571   4590280  -0.1565 -0.0818 -148.28 🔴 SELL
=======================================================
