=== SETTRADE SCANNER FULL REPORT ===
Date/Time: 05/08/2026 18:49:46
--------------------------------------------------
Symbol     | Price  | Change%  | Value 5D   | Status         
NSL        |  22.80 |   -0.87% |     5.76M | [HOLD (2/4)]
MOSHI      |  42.25 |   -0.59% |    22.93M | [HOLD (4/4)]
CMR        |   1.22 |   -0.81% |     0.73M | [HOLD (1/4)]
META80     |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
AMD80      |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
MSFT80     |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
GOOG80     |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
AVGO80     |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
MICRON80   |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
TSLA80     |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
AMZN80     |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
PEP80      |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
MRVL80     |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
NOVOB80    |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
SP500US80  |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
KO80       |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
SBUX80     |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
SONY80     |   3.76 |   +0.00% |     0.43M | [HOLD (1/4)]
SINGTEL80  |  11.30 |   -1.74% |     0.43M | [HOLD (1/4)]
JD80       |   5.45 |   +0.93% |     1.86M | [HOLD (3/4)]
NIKE80     |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
PFIZER19   |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
VNM19      |   7.55 |   -1.31% |     0.80M | [HOLD (2/4)]
THAIBEV19  |  11.90 |   +0.00% |     0.22M | [HOLD (1/4)]
DBS19      |  19.20 |   -1.03% |     0.62M | [HOLD (1/4)]
UOB19      |  11.20 |   -0.88% |     0.18M | [HOLD (1/4)]
SPFIN80    |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
SPCOM80    |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
HK01       |  22.40 |   +0.00% |     0.40M | [HOLD (2/4)]
SPBOND80   |   0.00 |   +0.00% |     0.00M | [HOLD (0/0)]
SMIC23     |   3.42 |   +3.64% |    11.58M | [HOLD (3/4)]
HUAHONG23  |   8.60 |   +4.24% |    10.55M | [HOLD (2/4)]
